Indeks;Emne;Modul;Tema;Spørsmål;Riktig svar;Nesten riktig;Litt riktig;Feil svar
1;TEK1210;M1;Krefter;Hva er normalkraft?;Kraft vinkelrett på kontaktflaten;Kraft fra underlaget som alltid peker oppover;Kraft som hindrer bevegelse;Kraft parallelt med kontaktflaten
2;TEK1210;M1;Krefter;Hva er en kraft?;En påvirkning som kan endre bevegelse eller form;En påvirkning som endrer bevegelse;En påvirkning på et legeme;Energi som lagres i et legeme
3;TEK1210;M1;Krefter;Hva sier aksjon–reaksjonsloven?;Krefter opptrer parvis, like store og motsatt rettet;Aksjon og reaksjon er like store;To krefter virker motsatt;Alle krefter er i likevekt
4;TEK1210;M1;Krefter;Hva er en kraft–motkraft?;To like store, motsatt rettede krefter på ulike legemer;To motsatt rettede krefter;To krefter med samme størrelse;To krefter på samme legeme
5;TEK1210;M1;Krefter;Virker kraft og motkraft på samme legeme?;Nei, de virker på hvert sitt legeme;Nei, men de virker i samme punkt;Vanligvis ikke;Ja, alltid
6;TEK1210;M1;Krefter;Er kraft og motkraft like store?;Ja, alltid;Ja, når systemet er i ro;Ofte;Nei, motkraften er mindre
7;TEK1210;M1;Krefter;Hva er en normalkraft?;Kontaktkraft vinkelrett på kontaktflaten;Kraft fra underlaget vinkelrett oppover;Kraft fra underlaget;Kraft parallelt med kontaktflaten
8;TEK1210;M1;Krefter;Hvilken retning har normalkraften?;Vinkelrett på kontaktflaten;Opp fra kontaktflaten;Motsatt tyngdekraften;Parallelt med kontaktflaten
9;TEK1210;M1;Krefter;Når oppstår normalkraft?;Når legemer er i kontakt;Når et legeme ligger på et underlag;Når et legeme står stille;Når et legeme faller fritt
10;TEK1210;M1;Krefter;Er normalkraft alltid lik tyngden?;Nei, den avhenger av situasjonen;Nei, ikke på skråplan;Bare ved bevegelse;Ja, alltid
11;TEK1210;M1;Krefter;Hva er gravitasjonskraft?;Tiltrekningskraft mellom masser;Jordas tiltrekning på et legeme;En kraft som virker nedover;Kraft fra underlaget
12;TEK1210;M1;Krefter;Hva er tyngdekraft?;Jordas gravitasjonskraft på et legeme;Gravitasjonskraft nær jordoverflaten;En kraft som peker nedover;Legemets masse
13;TEK1210;M1;Krefter;Hvilken retning har tyngdekraften?;Mot jordas sentrum;Vertikalt ned ved jordoverflaten;Alltid nedover;Vinkelrett på underlaget
14;TEK1210;M1;Krefter;Hva bestemmer tyngdekraftens størrelse?;Masse og tyngdeakselerasjon;Legemets masse;Masse og hastighet;Legemets volum
15;TEK1210;M1;Krefter;Hva er uttrykket for tyngdekraft?;F = mg;F = ma;F = m/g;F = mv
